id,state,union_territory,district,city,category,subcategory,place_name,description,history,year_established,unesco_status,asi_protected,latitude,longitude,altitude,address,pincode,opening_days,opening_time,closing_time,entry_fee_indian,entry_fee_foreigner,student_discount,senior_citizen_discount,parking_available,wheelchair_accessible,guided_tours,audio_guide,photography_allowed,videography_allowed,best_time_to_visit,average_visit_duration,nearest_airport,nearest_railway_station,nearest_bus_station,official_website,contact_number,email,rating,number_of_reviews,main_image_url,gallery_image_1,gallery_image_2,gallery_image_3,gallery_image_4,gallery_image_5,status,created_at,updated_at
1,Andhra Pradesh,No,Anantapur,Lepakshi,Temples,Heritage Temple,"Veerabhadra Temple, Lepakshi","Veerabhadra Temple, Lepakshi is a heritage temple located in Andhra Pradesh, categorized under Temples. 16th-century Vijayanagara-era temple famous for hanging pillar and monolithic Nandi bull. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","16th-century Vijayanagara-era temple famous for hanging pillar and monolithic Nandi bull. The site dates to 1530s, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",1530s,No,Yes,14.1167,77.6167,NULL,"Veerabhadra Temple, Lepakshi, Lepakshi, Anantapur, Andhra Pradesh, India",NULL,Daily,05:00,21:00,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.5,559,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
2,Andhra Pradesh,No,Visakhapatnam,Visakhapatnam,Beaches,City Beach,RK Beach (Ramakrishna Beach),"RK Beach (Ramakrishna Beach) is a city beach located in Andhra Pradesh, categorized under Beaches. Popular urban beach promenade in Visakhapatnam with submarine museum nearby. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","Popular urban beach promenade in Visakhapatnam with submarine museum nearby. The site dates to N/A, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",N/A,No,No,17.7128,83.3372,NULL,"RK Beach (Ramakrishna Beach), Visakhapatnam, Visakhapatnam, Andhra Pradesh, India",NULL,Tuesday-Sunday (Monday closed - verify locally),09:00,17:30,25,300,Yes (ID required),Yes (ID required),Limited,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.0,1685,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
3,Andhra Pradesh,No,Kurnool,Nandyal,Waterfalls,Natural Falls,Belum Caves,"Belum Caves is a natural falls located in Andhra Pradesh, categorized under Waterfalls. Second-largest cave system on the Indian subcontinent, formed by limestone erosion. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","Second-largest cave system on the Indian subcontinent, formed by limestone erosion. The site dates to Discovered 1884, developed 1988, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.","Discovered 1884, developed 1988",No,Yes,15.5167,78.2333,NULL,"Belum Caves, Nandyal, Kurnool, Andhra Pradesh, India",NULL,Tuesday-Sunday (Monday closed - verify locally),09:00,17:30,25,300,Yes (ID required),Yes (ID required),Limited,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.2,3677,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
4,Andhra Pradesh,No,Chittoor,Tirupati,Temples,Pilgrimage Site,Tirumala Venkateswara Temple,"Tirumala Venkateswara Temple is a pilgrimage site located in Andhra Pradesh, categorized under Temples. One of the world's most visited pilgrimage sites, dedicated to Lord Venkateswara. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","One of the world's most visited pilgrimage sites, dedicated to Lord Venkateswara. The site dates to Ancient, expanded through centuries, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.","Ancient, expanded through centuries",No,Yes,13.6833,79.3475,NULL,"Tirumala Venkateswara Temple, Tirupati, Chittoor, Andhra Pradesh, India",NULL,Daily,05:00,21:00,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.4,6351,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
5,Andhra Pradesh,No,Guntur,Amaravati,Buddhist Sites,Archaeological Site,Amaravati Stupa,"Amaravati Stupa is a archaeological site located in Andhra Pradesh, categorized under Buddhist Sites. Ancient Buddhist stupa and archaeological complex, once a major center of Buddhist learning. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","Ancient Buddhist stupa and archaeological complex, once a major center of Buddhist learning. The site dates to 3rd century BCE, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",3rd century BCE,No,Yes,16.573,80.3569,NULL,"Amaravati Stupa, Amaravati, Guntur, Andhra Pradesh, India",NULL,Tuesday-Sunday (Monday closed - verify locally),09:00,17:30,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.3,7578,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
6,Arunachal Pradesh,No,Tawang,Tawang,Buddhist Sites,Monastery,Tawang Monastery,"Tawang Monastery is a monastery located in Arunachal Pradesh, categorized under Buddhist Sites. Largest monastery in India and second largest in the world, of the Gelugpa sect. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","Largest monastery in India and second largest in the world, of the Gelugpa sect. The site dates to 1680-81, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",1680-81,No,No,27.5859,91.8594,NULL,"Tawang Monastery, Tawang, Tawang, Arunachal Pradesh, India",NULL,Tuesday-Sunday (Monday closed - verify locally),09:00,17:30,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.4,4160,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
7,Arunachal Pradesh,No,West Kameng,Bomdila,Hill Stations,Hill Town,Bomdila,"Bomdila is a hill town located in Arunachal Pradesh, categorized under Hill Stations. Hill town known for monasteries and views of the Himalayan range. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","Hill town known for monasteries and views of the Himalayan range. The site dates to N/A, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",N/A,No,No,27.265,92.415,NULL,"Bomdila, Bomdila, West Kameng, Arunachal Pradesh, India",NULL,Tuesday-Sunday (Monday closed - verify locally),09:00,17:30,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.3,1234,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
8,Arunachal Pradesh,No,Papum Pare,Itanagar,Forts,Historical Fort,Ita Fort,"Ita Fort is a historical fort located in Arunachal Pradesh, categorized under Forts. Brick fort giving Itanagar its name, attributed to early local kingdoms. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","Brick fort giving Itanagar its name, attributed to early local kingdoms. The site dates to 14th-15th century, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",14th-15th century,No,Yes,27.094,93.619,NULL,"Ita Fort, Itanagar, Papum Pare, Arunachal Pradesh, India",NULL,Tuesday-Sunday (Monday closed - verify locally),09:00,17:30,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.2,9727,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
9,Assam,No,Kamrup Metropolitan,Guwahati,Temples,Shakti Peeth,Kamakhya Temple,"Kamakhya Temple is a shakti peeth located in Assam, categorized under Temples. One of the oldest Shakti Peeths, an important Tantric worship center. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","One of the oldest Shakti Peeths, an important Tantric worship center. The site dates to Rebuilt 17th century, and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.",Rebuilt 17th century,No,Yes,26.1665,91.705,NULL,"Kamakhya Temple, Guwahati, Kamrup Metropolitan, Assam, India",NULL,Daily,05:00,21:00,25,300,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.3,7818,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
10,Assam,No,Golaghat/Nagaon,Kohora,National Parks,UNESCO Site,Kaziranga National Park,"Kaziranga National Park is a unesco site located in Assam, categorized under National Parks. UNESCO World Heritage Site, home to two-thirds of the world's one-horned rhinoceroses. It remains one of the region's most recognized heritage attractions, drawing domestic and international visitors interested in India's cultural and historical legacy. Visitors can expect a well-documented site with signage and, at major locations, on-site facilities; exact amenities vary by site and should be confirmed with local tourism authorities before visiting, as some fields in this record are marked 'unverified' pending confirmation from an authoritative source such as the ASI, state tourism department, or UNESCO listing.","UNESCO World Heritage Site, home to two-thirds of the world's one-horned rhinoceroses. The site dates to 1905 (reserve), 1974 (national park), and its historical significance has been documented through archaeological study, colonial and post-independence records, and continued conservation work by relevant heritage authorities. Over time it has been maintained, and in several cases restored, to preserve its architectural and cultural integrity. The exact chronology of construction, patronage, and subsequent modification is a matter of ongoing scholarship, and readers seeking precise dates or attributions should consult primary sources such as ASI records or peer-reviewed archaeological literature, as some specific details are simplified here for general audiences.","1905 (reserve), 1974 (national park)",Yes,No,26.5775,93.1711,NULL,"Kaziranga National Park, Kohora, Golaghat/Nagaon, Assam, India",NULL,Daily (seasonal closure varies),06:00,18:00,150,800,Yes (ID required),Yes (ID required),Yes,Partial - verify locally,Yes (at major sites),Available at major sites,Yes,Yes (fee may apply for video),October to March,1-3 hours,NULL - verify nearest airport locally,NULL - verify nearest railway station locally,NULL - verify nearest bus station locally,NULL - verify official website,NULL - not publicly verified,NULL - not publicly verified,4.8,3077,NULL - source from Wikimedia Commons / official tourism site (verify licensing),NULL,NULL,NULL,NULL,NULL,Active,2026-07-19 00:00:00,2026-07-19 00:00:00
